ID,City,Prefecture,Date,Species,Susceptibles,Cases,Deaths,Geo_Lookup,Latitude,Longitude
on.1,Gifu,Gifu,2018-09-03,Swine,610,29,29,Gifu Gifu,35.4230949,136.7627526
 1.1,Gifu,Gifu,2018-09-13,Wild boar:Sus scrofa(Suidae),0,1,1,Gifu Gifu,35.4230949,136.7627526
 2.1,Gifu,Gifu,2018-09-15,Wild boar:Sus scrofa(Suidae),0,1,1,Gifu Gifu,35.4230949,136.7627526
 2.2,Gifu,Gifu,2018-09-18,Wild boar:Sus scrofa(Suidae),0,3,3,Gifu Gifu,35.4230949,136.7627526
 2.3,Gifu,Gifu,2018-09-21,Wild boar:Sus scrofa(Suidae),0,1,1,Gifu Gifu,35.4230949,136.7627526
 3.1,Gifu,Gifu,2018-09-26,Wild boar:Sus scrofa(Suidae),0,1,1,Gifu Gifu,35.4230949,136.7627526
 3.2,Kakamigahara,Gifu,2018-09-27,Wild boar:Sus scrofa(Suidae),0,1,1,Kakamigahara Gifu,35.3995831,136.8485648
 3.3,Kakamigahara,Gifu,2018-09-28,Wild boar:Sus scrofa(Suidae),0,1,1,Kakamigahara Gifu,35.3995831,136.8485648
 3.4,Gifu,Gifu,2018-09-28,Wild boar:Sus scrofa(Suidae),0,1,1,Gifu Gifu,35.4230949,136.7627526
 4.1,Gifu,Gifu,2018-09-30,Wild boar:Sus scrofa(Suidae),0,1,0,Gifu Gifu,35.4230949,136.7627526
 4.2,Gifu,Gifu,2018-10-02,Wild boar:Sus scrofa(Suidae),0,1,0,Gifu Gifu,35.4230949,136.7627526
 4.3,Kakamigahara,Gifu,2018-10-03,Wild boar:Sus scrofa(Suidae),0,1,0,Kakamigahara Gifu,35.3995831,136.8485648
 4.4,Kakamigahara,Gifu,2018-10-03,Wild boar:Sus scrofa(Suidae),0,1,0,Kakamigahara Gifu,35.3995831,136.8485648
 4.5,Gifu,Gifu,2018-10-04,Wild boar:Sus scrofa(Suidae),0,1,0,Gifu Gifu,35.4230949,136.7627526
 4.6,Gifu,Gifu,2018-10-05,Wild boar:Sus scrofa(Suidae),0,1,0,Gifu Gifu,35.4230949,136.7627526
 4.7,Gifu,Gifu,2018-10-05,Wild boar:Sus scrofa(Suidae),0,1,1,Gifu Gifu,35.4230949,136.7627526
 4.8,Gifu,Gifu,2018-10-07,Wild boar:Sus scrofa(Suidae),0,1,1,Gifu Gifu,35.4230949,136.7627526
 4.9,Kakamigahara,Gifu,2018-10-08,Wild boar:Sus scrofa(Suidae),0,1,0,Kakamigahara Gifu,35.3995831,136.8485648
 5.1,Gifu,Gifu,2018-11-15,Swine,23,2,0,Gifu Gifu,35.4230949,136.7627526
 7.cluster 1,Gifu,Gifu,2018-10-09,Wild boar:Sus scrofa(Suidae),0,18,8,Gifu Gifu,35.4230949,136.7627526
 7.cluster 2,Kakamigahara,Gifu,2018-10-12,Wild boar:Sus scrofa(Suidae),0,12,2,Kakamigahara Gifu,35.3995831,136.8485648
 7.cluster 3,Seki,Gifu,2018-10-19,Wild boar:Sus scrofa(Suidae),0,7,3,Seki Gifu,35.4958031,136.9181482
 7.4,Kani,Gifu,2018-10-30,Wild boar:Sus scrofa(Suidae),0,1,0,Kani Gifu,35.4261093,137.0613166
 7.5,Yamagata,Gifu,2018-11-01,Wild boar:Sus scrofa(Suidae),0,1,0,Yamagata Gifu,35.4094858,136.7569769
 7.6,Sakahogi,Gifu,2018-11-24,Wild boar:Sus scrofa(Suidae),0,1,0,Sakahogi Gifu,35.4299044,136.9784989
 7.7,Yaotsu,Gifu,2018-11-26,Wild boar:Sus scrofa(Suidae),0,1,1,Yaotsu Gifu,35.4755935,137.141068
 7.8,Minokamo,Gifu,2018-12-03,Swine,491,4,0,Minokamo Gifu,35.4406551,137.0155052
 8.1,Kakamigahara,Gifu,2018-11-30,Wild boar:Sus scrofa(Suidae),0,2,1,Kakamigahara Gifu,35.3995831,136.8485648
 8.2,Yaotsu,Gifu,2018-12-02,Wild boar:Sus scrofa(Suidae),0,1,0,Yaotsu Gifu,35.4755935,137.141068
 8.3,Kani,Gifu,2018-12-04,Wild boar:Sus scrofa(Suidae),0,1,0,Kani Gifu,35.4261093,137.0613166
 8.4,Kakamigahara,Gifu,2018-12-04,Wild boar:Sus scrofa(Suidae),0,2,0,Kakamigahara Gifu,35.3995831,136.8485648
 8.5,Kani,Gifu,2018-12-06,Wild boar:Sus scrofa(Suidae),0,1,0,Kani Gifu,35.4261093,137.0613166
 8.6,Gifu,Gifu,2018-12-06,Wild boar:Sus scrofa(Suidae),0,1,0,Gifu Gifu,35.4230949,136.7627526
 8.7,Sakahogi,Gifu,2018-12-06,Wild boar:Sus scrofa(Suidae),0,1,0,Sakahogi Gifu,35.4299044,136.9784989
 8.8,Seki,Gifu,2018-12-07,Wild boar:Sus scrofa(Suidae),0,1,0,Seki Gifu,35.4958031,136.9181482
 8.9,Seki,Gifu,2018-12-10,Swine,23,1,1,Seki Gifu,35.4958031,136.9181482
 9.1,Yaotsu,Gifu,2018-12-09,Wild boar:Sus scrofa(Suidae),0,1,0,Yaotsu Gifu,35.4755935,137.141068
 9.2,Seki,Gifu,2018-12-09,Wild boar:Sus scrofa(Suidae),0,1,1,Seki Gifu,35.4958031,136.9181482
 9.3,Kakamigahara,Gifu,2018-12-11,Wild boar:Sus scrofa(Suidae),0,1,1,Kakamigahara Gifu,35.3995831,136.8485648
 9.4,Kani,Gifu,2018-12-14,Swine,10,1,0,Kani Gifu,35.4261093,137.0613166
10.1,Seki,Gifu,2018-11-28,Wild boar:Sus scrofa(Suidae),0,1,0,Seki Gifu,35.4958031,136.9181482
10.2,Sakahogi,Gifu,2018-12-14,Wild boar:Sus scrofa(Suidae),0,1,0,Sakahogi Gifu,35.4299044,136.9784989
10.3,Minokamo,Gifu,2018-12-15,Wild boar:Sus scrofa(Suidae),0,1,0,Minokamo Gifu,35.4406551,137.0155052
10.4,Kakamigahara,Gifu,2018-12-15,Wild boar:Sus scrofa(Suidae),0,1,0,Kakamigahara Gifu,35.3995831,136.8485648
10.5,Kani,Gifu,2018-12-18,Wild boar:Sus scrofa(Suidae),0,1,0,Kani Gifu,35.4261093,137.0613166
10.6,Inuyama,Aichi,2018-12-19,Wild boar:Sus scrofa(Suidae),0,1,0,Inuyama Aichi,35.360969,136.984018
10.7,Seki,Gifu,2018-12-23,Swine,7547,2,0,Seki Gifu,35.4958031,136.9181482
11.1,Gifu,Gifu,2018-12-21,Wild boar:Sus scrofa(Suidae),0,1,0,Gifu Gifu,35.4230949,136.7627526
11.2,Kawabe,Gifu,2018-12-23,Wild boar:Sus scrofa(Suidae),0,1,0,Kawabe Gifu,35.4865125,137.0681577
11.3,Yamagata,Gifu,2018-12-25,Wild boar:Sus scrofa(Suidae),0,1,0,Yamagata Gifu,35.4094858,136.7569769
11.4,Inuyama,Aichi,2018-12-25,Wild boar:Sus scrofa(Suidae),0,1,1,Inuyama Aichi,35.360969,136.984018
11.5,Sakahogi,Gifu,2018-12-26,Wild boar:Sus scrofa(Suidae),0,1,0,Sakahogi Gifu,35.4299044,136.9784989
11.6,Kani,Gifu,2018-12-26,Wild boar:Sus scrofa(Suidae),0,1,0,Kani Gifu,35.4261093,137.0613166
11.7,Kakamigahara,Gifu,2018-12-27,Wild boar:Sus scrofa(Suidae),0,1,1,Kakamigahara Gifu,35.3995831,136.8485648
11.8,Yaotsu,Gifu,2018-12-28,Wild boar:Sus scrofa(Suidae),0,1,0,Yaotsu Gifu,35.4755935,137.141068
11.9,Inuyama,Aichi,2018-12-28,Wild boar:Sus scrofa(Suidae),0,2,0,Inuyama Aichi,35.360969,136.984018
11.10,Kakamigahara,Gifu,2018-12-31,Wild boar:Sus scrofa(Suidae),0,1,1,Kakamigahara Gifu,35.3995831,136.8485648
11.11,Seki,Gifu,2018-12-31,Wild boar:Sus scrofa(Suidae),0,1,0,Seki Gifu,35.4958031,136.9181482
11.12,Kakamigahara,Gifu,2019-01-05,Wild boar:Sus scrofa(Suidae),0,1,1,Kakamigahara Gifu,35.3995831,136.8485648
